Datetime,ID,Text
2020-10-05 17:05:25,1313163393310822401,"RT @LAbdullayevaMFA: #Civillian targets of #Azerbaijan far away from the conflict zone under #Armenia's shelling! 🔥

Gross violations of al…"
2020-10-05 17:05:24,1313163392472035329,"RT @LAbdullayevaMFA: #Civillian targets of #Azerbaijan far away from the conflict zone under #Armenia's shelling! 🔥

Gross violations of al…"
2020-10-05 17:05:24,1313163391503040518,RT @UNWatch: 🇹🇷 Turkey’s illegal practice of sending Syrian mercenaries to fight in the Eastern Mediterranean and Nagorno-Karabakh has been…
2020-10-05 17:05:24,1313163391339507712,"Karabakh is Azerbaijan!
#StopArmenianOccupation 
#StopArmenianAggresion 
#StopArmenianTerrorism… https://t.co/pfaFqiv4gB"
2020-10-05 17:05:23,1313163388885905408,"RT @Artak_Beglaryan: Look what distructions #Azerbaijan did only today in capital #Stepanakert of #Artsakh/#Karabakh w/ heavy missiles.
Sch…"
2020-10-05 17:05:23,1313163387560357889,RT @JalaAliyeva: A child injured in a bomb falling in Ganja. What kind of justice do you want?  Immediately expel the savages from the land…
2020-10-05 17:05:23,1313163387409489920,@ThomasNelsonKS Azerbaijan's only desire is to remove the terrorist Armenian state from its territory and ensure its territorial integrity
2020-10-05 17:05:23,1313163386688098305,"RT @Charles_Lister: As it's demonstrated in #Idlib, #Libya &amp; #Azerbaijan, #Turkey's focus on advanced drone warfare is having an outsized i…"
2020-10-05 17:05:23,1313163386503475203,"RT @MarkAmesExiled: NATO's second largest army Turkey has sent 1000 repurposed Syria jihadis, including ISIS genocidaires, to help Azerbaij…"
2020-10-05 17:05:22,1313163384528007174,"RT @GunayValizadeh: 🔴HAPPENING NOW‼️

The #Armenia|n Armed Forces are currently firing on settlements in the Ganja city of #Azerbaijan!"
2020-10-05 17:05:22,1313163383412322304,"RT @Artak_Beglaryan: Look what distructions #Azerbaijan did only today in capital #Stepanakert of #Artsakh/#Karabakh w/ heavy missiles.
Sch…"
2020-10-05 17:05:22,1313163382149779458,"RT @AuroraIntel: The Armenian budget will be allocating 100 million dram to Stepanakert and its rebuilding and such 

#Azerbaijan #Armenia…"
2020-10-05 17:05:21,1313163379616428032,@Elisachly Your mom's pu**y will be destroyed by me when we come there. Don't die untill Azerbaijan millitary come… https://t.co/AXd9LtdSQT
2020-10-05 17:05:21,1313163377859072006,"RT @Artak_Beglaryan: Look what distructions #Azerbaijan did only today in capital #Stepanakert of #Artsakh/#Karabakh w/ heavy missiles.
Sch…"
2020-10-05 17:05:20,1313163376248393730,"RT @HyelandersFC: Armenian government gave security guarantees for the match against Georgia at home in Yerevan. However, if the match is m…"
2020-10-05 17:05:20,1313163373123645440,"RT @ArmenianUnified: Since the very first day of the aggression unleashed by #Azerbaijan, the Azerbaijani Armed Forces have been targeting…"
2020-10-05 17:05:20,1313163373018640384,"RT @thummatlii: Yesterday's strikes from 🇦🇲's territory targeting Azerbaijan's civilian infrastructure,including Hydro Power Station which…"
2020-10-05 17:05:19,1313163371693342720,@EmmanuelMacron @armenia|n terrorist how killed #azerbaijan|i children in 2010's https://t.co/l9IGHT5pHl
2020-10-05 17:05:19,1313163369046835203,RT @ArzuJaeed: #Armenia proceeds to commit a #warcrime with a missile attack on Mingachevir. Thankfully our air defense system blocked it.…
2020-10-05 17:05:19,1313163369030053895,"RT @Artak_Beglaryan: Look what distructions #Azerbaijan did only today in capital #Stepanakert of #Artsakh/#Karabakh w/ heavy missiles.
Sch…"
2020-10-05 17:05:18,1313163366735605760,RT @Ra_Bies: One good news at last. Parsis and Jains in a joint press conference have announced that though they’d remain rivals but will s…
2020-10-05 17:05:18,1313163366462976005,"RT @simonforco: Azerbaijan’s dictator sends Syrian mercenaries to the frontline, while Armenia’s democratically elected Prime Minister send…"
2020-10-05 17:05:18,1313163366186266624,"RT @ArmenianUnified: Since the very first day of the aggression unleashed by #Azerbaijan, the Azerbaijani Armed Forces have been targeting…"
2020-10-05 17:05:18,1313163365427150849,"RT @AuroraIntel: Azerbaijanis report that the villages of Ağdam and Goranboy are taking fire from Armenians.

#Azerbaijan #Armenia #Artsakh…"
2020-10-05 17:05:17,1313163362386227202,"RT @ManeAdamian: ❗️🇦🇲🇪🇺
48 Members of the European Parliament sent a letter to @JosepBorrellF condemning #Azerbaijan's aggression against #…"
2020-10-05 17:05:17,1313163361618624516,"RT @Ro32777857: Yesterday's strikes from 🇦🇲's territory targeting Azerbaijan's civilian infrastructure,including Hydro Power Station which…"
2020-10-05 17:05:16,1313163358623936519,"RT @GsnvAmor: The people of Azerbaijan are not afraid of Armenian provocations, they protect their land, their home, their flag as they did…"
2020-10-05 17:05:16,1313163356698746882,RT @RepJudyChu: I'm so troubled by Azerbaijan's violent campaign against the peaceful people of Artsakh. I was proud to visit Artsakh last…
2020-10-05 17:05:16,1313163356543610887,#Armenia tries to increase tansion and draw attention to the issue by shoting #Gandja with rockets. At the same tim… https://t.co/E1oTWzTiZZ
2020-10-05 17:05:15,1313163354102530048,"RT @NasimiAghayev: 1200-year-old #Ganja is the 2nd largest city in #Azerbaijan (500,000 people). It’s the birthplace of world-famous #Azerb…"
2020-10-05 17:05:14,1313163350394757127,"RT @MarkAmesExiled: NATO's second largest army Turkey has sent 1000 repurposed Syria jihadis, including ISIS genocidaires, to help Azerbaij…"
2020-10-05 17:05:14,1313163348930965504,RT @Ro32777857: Evidence of Armenia's attack on Azerbaijan's critical civilian infrastructure. The rocket landed near the power block in Mi…
2020-10-05 17:05:14,1313163348859588608,RT @RepJudyChu: I'm so troubled by Azerbaijan's violent campaign against the peaceful people of Artsakh. I was proud to visit Artsakh last…
2020-10-05 17:05:14,1313163347836243975,"RT @cntrentF24: Another rocket attack in Azerbaijan, this time in Barda around 20km away from the frontline of the conflict in Nagorno-Kara…"
2020-10-05 17:05:13,1313163346561040384,RT @TarekFatah: #Armenia supporters shut down Hollywood traffic; demand US support in conflict with #Azerbaijan https://t.co/fgWD4r9UGv
2020-10-05 17:05:13,1313163346150125571,RT @VusalaFva: #Armenia targets Mingechevir hidropower station continuously. It is more than 130 kms  away from the line of the contact. #A…
2020-10-05 17:05:13,1313163345600614403,"RT @ghovhannesyan4: The #Azerbaijani side, with no single piece of evidence, now declares that the Armed Forces of #Armenia have allegedly…"
2020-10-05 17:05:13,1313163343444824064,"RT @elbayaliyev: NOW: Armenian armed forces are attacking densely populated civilian areas in #Ganja, #Barda, Beylagan and some other citie…"
2020-10-05 17:05:13,1313163343444799489,RT @Ro32777857: Evidence of Armenia's attack on Azerbaijan's critical civilian infrastructure. The rocket landed near the power block in Mi…
2020-10-05 17:05:12,1313163340655529991,"RT @royalmehdizade: Yesterday's strikes from 🇦🇲's territory targeting Azerbaijan's civilian infrastructure,including Hydro Power Station wh…"
2020-10-05 17:05:11,1313163335085547521,"RT @LAbdullayevaMFA: #Civillian targets of #Azerbaijan far away from the conflict zone under #Armenia's shelling! 🔥

Gross violations of al…"
2020-10-05 17:05:10,1313163334347378691,RT @patrick_edery: 😱L'Azerbaijan utilise contre les civils arméniens des armes à sous munitions ce qui est totalement interdit par le droit…
2020-10-05 17:05:10,1313163333432942593,"RT @Pres_Artsakh: .#Azerbaijan’i terrorist army targets civilians in #Stepanakert, using Polonez &amp; Smerch MLRS. From now on mil objects in…"
2020-10-05 17:05:10,1313163333156167681,Evidence of Armenia's attack on Azerbaijan's critical civilian infrastructure. The rocket landed near the power blo… https://t.co/Ns2bjZ1QLB
2020-10-05 17:05:10,1313163332002643968,Iran is sending at least 200 tanks to its border with Armenia and Azerbaijan @BGMilitary https://t.co/mHs94Nc2ZC
2020-10-05 17:05:09,1313163330165469186,RT @Amber_Lone: Now Azerbaijan has the strength to retake its stolen land. It is simply taking its legally recognized territory and they sa…
2020-10-05 17:05:09,1313163329179799553,"2/2

Turks have never recognized it as a genocide or apologized for it, but to now back a much bigger Azerbaijan ag… https://t.co/TSeVx4NIWg"
2020-10-05 17:05:09,1313163328752156673,RT @turqay_trueguy: Evidence of Armenia's attack on Azerbaijan's critical civilian infrastructure. The rocket landed near the power block i…
2020-10-05 17:05:09,1313163327627984898,"10 FACTS you didn't know about AZERBAIJAN! https://t.co/0AcUGKFZtp via @YouTube  
@cnn
@cnnpolitics"
2020-10-05 17:05:09,1313163327212748801,"RT @MarkAmesExiled: NATO's second largest army Turkey has sent 1000 repurposed Syria jihadis, including ISIS genocidaires, to help Azerbaij…"
2020-10-05 17:05:08,1313163325451141121,"RT @serjtankian: Friends in Europe, please show support to bring forth an initiative to the @Europarl_EN introduced by parliamentarian @Kym…"
2020-10-05 17:05:07,1313163321210798080,"RT @cntrentF24: Another rocket attack in Azerbaijan, this time in Barda around 20km away from the frontline of the conflict in Nagorno-Kara…"
2020-10-05 17:05:07,1313163321076592641,RT @anadoluagency: OPINION - Armenia-Azerbaijan escalation and Armenian lobby in US https://t.co/4gyPq5hYYp https://t.co/1HAk1Bo1jz
2020-10-05 17:05:07,1313163320703287298,@RobboLaw So Armenians not giving the liberated lands that were given to Azerbaijan by the Soviets is considered br… https://t.co/qygFNolPK3
2020-10-05 17:05:07,1313163320367689730,RT @KentThornhillMP: My letter to a concerned Thornhill constituent...+ all in Canada’s Armenian community...as the OSCE Minsk Group seeks…
2020-10-05 17:05:07,1313163320296378368,The Armenian army is intensively firing on the regions and villages inhabited by the civilian population of Azerbai… https://t.co/5fAAYS8EN5
2020-10-05 17:05:07,1313163318895562752,@matthewcassel @joaodiogopinto #Azerbaijan  needs occupied lands and peace only! We ask Armenia to follow resolutio… https://t.co/kxOqsmg9F6
2020-10-05 17:05:07,1313163318882951175,@iam_mompha Azerbaijan #TravelGuidelines
2020-10-05 17:05:06,1313163317201043456,RT @UNWatch: 🇹🇷 Turkey’s illegal practice of sending Syrian mercenaries to fight in the Eastern Mediterranean and Nagorno-Karabakh has been…
2020-10-05 17:05:06,1313163313661046791,"Karabakh is Azerbaijan!
#StopArmenianOccupation 
#StopArmenianAggresion 
#StopArmenianTerrorism… https://t.co/rsrVuYEYFw"
2020-10-05 17:05:04,1313163308946591744,"Yesterday's strikes from 🇦🇲's territory targeting Azerbaijan's civilian infrastructure,including Hydro Power Statio… https://t.co/Is3Lj6vE5a"
2020-10-05 17:05:04,1313163308007030785,RT @ahmadovaykhan: Evidence of Armenia's attack on Azerbaijan's critical civilian infrastructure. The rocket landed near the power block in…
2020-10-05 17:05:04,1313163307746881536,"RT @Magooa_: Yesterday's strikes from 🇦🇲's territory targeting Azerbaijan's civilian infrastructure,including Hydro Power Station which may…"
2020-10-05 17:05:03,1313163301967269888,RT @nnnagieva: Evidence of Armenia's attack on Azerbaijan's critical civilian infrastructure. The rocket landed near the power block in Min…
2020-10-05 17:05:02,1313163300251680768,"RT @Asm_Nazarian: Proud to be standing with electeds representatives in the LA City, California and Federal government demanding that Azerb…"
2020-10-05 17:05:02,1313163299169669120,RT @gyullua: We urge Armenia to stop violence and occupation in the internationally recognized territories of Azerbaijan‼️ #KarabakhisAzerb…
2020-10-05 17:05:02,1313163296795754497,"RT @ArmMinasyants: According to @syriahr - more than 1,000 #Turkey backed mercenaries have been airlifted to #Azerbaijan by Turkey so far &amp;…"
2020-10-05 17:05:01,1313163296653086727,"RT @AvinyanTigran: Since the first day of the AZ aggression, the #Azerbaijan'i forces have been targeting the settlements &amp; civ. infrastruc…"
2020-10-05 17:05:01,1313163296380317697,RT @armenia: The gorgeous city of #Stepanakert is proudly withstanding the gross International #HumanitarianLaw violations of #Azerbaijan o…
2020-10-05 17:05:01,1313163293826191360,"RT @TRTWorldNow: Armenian armed forces are attacking densely populated civilian areas in Ganja, Mingachevir, and other regions of Azerbaija…"
2020-10-05 17:05:01,1313163292676960257,"RT @FrontalAssault1: In a major development, Israeli President has spoken with his Armenian counterpart today. Israel has been supporting A…"
2020-10-05 17:05:00,1313163290713952256,RT @jkass99: Azerbaijan is committing war crimes and the world doesn't care
2020-10-05 17:05:00,1313163290013511682,"#Ukraine #Syria #Libya #NagornoKarabakh - What do these conflicts have in common? Foreign intervention by #Russian,… https://t.co/2h37mBtGUY"
2020-10-05 17:05:00,1313163289950670849,"RT @yenisafakEN: Armenia-Azerbaijan escalation and Armenian lobby in US
https://t.co/n7XWyeW9k1 https://t.co/72x4ygIXQY"
2020-10-05 17:05:00,1313163289627627528,"NOW: As @POTUS continues recovering from #COVID19, the #Presidential #Campaigns continue. @W7VOA has the latest. Pl… https://t.co/xzSJS8dxNL"
2020-10-05 17:05:00,1313163288616808450,RT @iaccolic: if you don’t know history as much as you should it doesn’t take any of that knowledge to know when something is wrong. please…
